,loss
722,0.46123835
723,0.46111438
724,0.46099088
725,0.46086785
726,0.4607447
727,0.46062142
728,0.46049765
729,0.46037316
730,0.46024764
731,0.46012092
732,0.45999265
733,0.4598627
734,0.4597308
735,0.4595966
736,0.45946005
737,0.45932087
738,0.45917884
739,0.45903385
740,0.45888567
741,0.4587343
742,0.45857942
743,0.45842105
744,0.45825905
745,0.45809337
746,0.45792383
747,0.45775053
748,0.45757324
749,0.4573921
750,0.45720682
751,0.4570175
752,0.45682406
753,0.45662636
754,0.45642433
755,0.45621794
756,0.45600712
757,0.45579195
758,0.4555724
759,0.45534864
760,0.45512068
761,0.454889
762,0.4546539
763,0.4544155
764,0.45417455
765,0.45393136
766,0.45368698
767,0.45344245
768,0.45320117
769,0.45296854
770,0.4527546
771,0.4525588
772,0.45233276
773,0.45204666
774,0.4517901
775,0.45161498
776,0.4514225
777,0.45117208
778,0.45096505
779,0.45080534
780,0.45060465
781,0.45039746
782,0.450243
783,0.45008317
784,0.44989857
785,0.44974723
786,0.44961426
787,0.4494593
788,0.4493149
789,0.44919646
790,0.44906905
791,0.44893593
792,0.4488229
793,0.44871488
794,0.4485964
795,0.44848463
796,0.44838485
797,0.4482808
798,0.44817224
799,0.44807178
800,0.4479759
801,0.44787505
802,0.4477731
803,0.44767702
804,0.44758296
805,0.4474856
806,0.44738793
807,0.44729438
808,0.44720283
809,0.44711
810,0.4470166
811,0.4469257
812,0.4468374
813,0.44674942
814,0.44666097
815,0.44657323
816,0.44648746
817,0.44640332
818,0.44631958
819,0.4462358
820,0.44615233
821,0.44606996
822,0.44598868
823,0.44590828
824,0.4458284
825,0.44574875
826,0.44566947
827,0.4455907
828,0.44551256
829,0.44543523
830,0.4453586
831,0.44528264
832,0.44520724
833,0.44513255
834,0.44505838
835,0.44498497
836,0.4449123
837,0.44484085
838,0.44477096
839,0.44470373
840,0.44464052
841,0.44458267
842,0.44452852
843,0.44446874
844,0.4443903
845,0.4442954
846,0.44420874
847,0.44414657
848,0.44409746
849,0.4440383
850,0.44396028
851,0.44387838
852,0.443811
853,0.44375622
854,0.44369775
855,0.44362703
856,0.44355148
857,0.44348353
858,0.4434245
859,0.4433652
860,0.44329894
861,0.4432278
862,0.44315898
863,0.44309577
864,0.443035
865,0.442972
866,0.44290495
867,0.44283623
868,0.4427691
869,0.44270468
870,0.44264162
871,0.44257784
872,0.4425122
873,0.44244498
874,0.44237736
875,0.4423102
876,0.44224396
877,0.44217852
878,0.4421132
879,0.4420477
880,0.44198152
881,0.44191504
882,0.4418479
883,0.4417805
884,0.4417129
885,0.44164518
886,0.4415774
887,0.4415097
888,0.441442
889,0.4413745
890,0.44130734
891,0.44124073
892,0.44117522
893,0.44111165
894,0.4410513
895,0.4409957
896,0.44094485
897,0.44089365
898,0.44083017
899,0.44074333
900,0.44064432
901,0.44056013
902,0.44050208
903,0.44045538
904,0.4403969
905,0.44031805
906,0.44023287
907,0.44016123
908,0.4401046
909,0.44004858
910,0.4399806
911,0.43990284
912,0.43982795
913,0.43976307
914,0.4397035
915,0.43964022
916,0.43956953
917,0.43949553
918,0.43942457
919,0.43935877
920,0.43929517
921,0.4392294
922,0.43915987
923,0.43908784
924,0.4390163
925,0.43894678
926,0.43887916
927,0.43881196
928,0.43874368
929,0.4386739
930,0.43860254
931,0.43853045
932,0.43845817
933,0.43838623
934,0.4383147
935,0.43824324
936,0.43817186
937,0.43810043
938,0.4380289
939,0.4379573
940,0.43788603
941,0.4378151
942,0.43774566
943,0.43767774
944,0.43761316
945,0.4375511
946,0.43749124
947,0.43742636
948,0.43735006
949,0.43725705
950,0.4371583
951,0.4370692
952,0.4369979
953,0.43693823
954,0.4368771
955,0.43680558
956,0.43672135
957,0.43663368
958,0.43655226
959,0.43648097
960,0.43641543
961,0.43634814
962,0.43627498
963,0.4361954
964,0.43611425
965,0.4360356
966,0.43596184
967,0.4358917
968,0.4358222
969,0.43575138
970,0.43567774
971,0.43560204
972,0.43552506
973,0.43544862
974,0.43537343
975,0.43529972
