,loss
145,0.012883817
146,0.012334087
147,0.00740376
148,0.0040309513
149,0.005065884
150,0.008252588
151,0.010036711
152,0.008685087
153,0.005645984
154,0.003274293
155,0.0029523247
156,0.004312517
157,0.0062653804
158,0.008003495
159,0.008956869
160,0.009135656
161,0.008383129
162,0.0071087177
163,0.005509515
164,0.004050197
165,0.0029098063
166,0.00217732
167,0.0017789147
168,0.0016126463
169,0.0016010598
170,0.0017290942
171,0.0020789416
172,0.0029178704
173,0.004991624
174,0.010127221
175,0.022778232
176,0.048021507
177,0.07927296
178,0.06408367
179,0.011111131
180,0.012855808
181,0.0423356
182,0.014773982
183,0.008051861
184,0.029205443
185,0.0066511114
186,0.011544303
187,0.01838189
188,0.00216793
189,0.014769224
190,0.007574098
191,0.0052590044
192,0.01220149
193,0.002502092
194,0.00937595
195,0.0058632763
196,0.004099401
197,0.008187288
198,0.0023874363
199,0.0064920336
200,0.004059703
201,0.0034260543
202,0.005543786
203,0.0021716557
204,0.004731293
205,0.003137954
206,0.0026676487
207,0.0040686317
208,0.0018898637
209,0.0031634243
210,0.002758746
211,0.0017432986
212,0.0029641478
213,0.0019023217
214,0.0017971998
215,0.0024848452
216,0.0014856824
217,0.0017014886
218,0.0020437434
219,0.0012674142
220,0.0014971915
221,0.0017283355
222,0.0011453285
223,0.0012652529
224,0.0015044357
225,0.0010881398
226,0.0010437617
227,0.0012996055
228,0.0010803947
229,0.00088334625
230,0.0010669454
231,0.0010757115
232,0.00084965146
233,0.0008433435
234,0.00097394886
235,0.0009048452
236,0.00075817714
237,0.0007817154
238,0.0008626743
239,0.0008108861
240,0.0007078136
241,0.00070603983
242,0.0007636447
243,0.0007558494
244,0.0006850413
245,0.0006472796
246,0.00067192066
247,0.00069757644
248,0.000675961
249,0.0006296971
250,0.00060700224
251,0.0006184673
252,0.0006350685
253,0.00062961254
254,0.0006037013
255,0.00057855144
256,0.00056987855
257,0.0005757324
258,0.0005831062
259,0.00058124954
260,0.00056903384
261,0.0005527206
262,0.0005397114
263,0.00053360674
264,0.0005334098
265,0.00053558446
266,0.00053664594
267,0.00053474307
268,0.00052978046
269,0.00052280474
270,0.00051510194
271,0.00050773285
272,0.00050127547
273,0.00049590535
274,0.0004915294
275,0.00048795907
276,0.0004850065
277,0.0004825484
278,0.00048055596
279,0.00047911462
280,0.00047847567
281,0.00047915176
282,0.0004821371
283,0.0004893091
284,0.0005043532
285,0.0005344767
286,0.00059467804
287,0.0007153924
288,0.00096310105
289,0.0014753914
290,0.002564489
291,0.0048535615
292,0.009727562
293,0.019207826
294,0.036096346
295,0.05461566
296,0.058925122
297,0.028258987
298,0.0014740541
299,0.0143182995
300,0.027218422
301,0.00865896
302,0.0034034064
303,0.01740282
304,0.008150091
305,0.0020487183
306,0.012434396
307,0.005362818
308,0.0026288962
309,0.00957554
310,0.0028202117
311,0.0037297502
312,0.0068062367
313,0.0013793806
314,0.0046107597
315,0.0039957305
316,0.0014975158
